"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","65/1814","189/9392",0.343915343915344,1.78062453696412,5.30402607407448,5.86250501090025e-07,6.83012101329418e-05,4.91810391803944e-05,"84168/118429/55054/9474/596/330/114769/84674/22900/64170/837/838/841/846/6347/1147/2919/2920/2921/3576/1536/11337/2633/115362/79792/3326/3428/3455/3553/51135/3661/3665/3708/3709/3725/84557/6885/6300/1432/5595/5599/4671/10135/4790/4793/4940/5585/5586/5331/29108/10616/5970/8767/55072/81858/6772/10454/10010/7099/7186/7187/7188/7205/25828/7297",65
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","46/1814","119/9392",0.38655462184874,2.00138975104926,5.3785319669697,6.60878224631151e-07,6.83012101329418e-05,4.91810391803944e-05,"6868/207/1388/330/843/836/841/6347/1147/1435/6376/2919/3627/2920/2921/6372/1540/153090/1906/3600/3553/3659/3725/3726/6416/5609/4217/6885/6300/1432/5595/5599/4314/4318/4790/5296/5743/5970/64285/8986/6401/10454/8717/7186/7187/7188",46
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","42/1814","105/9392",0.4,2.0710033076075,5.39939375641832,6.87601362395328e-07,6.83012101329418e-05,4.91810391803944e-05,"472/596/597/330/29775/1147/1460/2919/2920/2921/3576/1540/1896/128178/10912/3553/3654/51135/3929/4055/23643/4067/10892/6885/4790/4791/51588/55367/10848/5579/5588/5743/5970/6850/10454/7099/10673/8717/7186/7187/7188/7535",42
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","34/1814","79/9392",0.430379746835443,2.2282946980587,5.36375067940478,1.08069093715457e-06,6.83012101329418e-05,4.91810391803944e-05,"1378/1379/1536/2209/2212/2214/3112/3113/3122/3123/3126/3458/3459/3553/3654/51135/3676/3717/3725/6885/6300/1432/5595/4790/4793/5579/5743/5970/6772/10454/7040/7043/7097/7099",34
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","92/1814","300/9392",0.306666666666667,1.58776920249908,5.06214990209189,1.17069478265259e-06,6.83012101329418e-05,4.91810391803944e-05,"207/776/8912/93589/782/784/836/1147/1435/1616/1649/1847/1848/1849/1850/51295/1943/2064/356/8074/2252/2323/10912/3265/3303/3304/3315/3481/3553/3556/3654/51135/3725/3727/5605/6416/5609/4214/4294/4296/7786/10746/4217/9064/6885/8491/6300/1432/5595/5598/5599/23542/23162/9261/2122/4208/2872/4790/4791/4804/51701/3164/5154/5155/5533/5567/5579/5778/5921/5922/5924/10125/25780/5970/6195/8986/27330/6237/6655/6722/6789/3925/10454/9344/7010/7040/7043/7048/8717/7186/7422/7423",92
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","68/1814","204/9392",0.333333333333333,1.72583608967291,5.12791018336298,1.18784713274681e-06,6.83012101329418e-05,4.91810391803944e-05,"11047/207/567/581/596/10018/836/841/595/894/930/915/965/1019/1147/1380/3627/1871/953/2208/10912/3280/3112/3113/3122/3123/3126/3134/3455/3654/51135/3661/3665/3683/3725/4067/6416/5609/6885/6300/1432/5599/9612/4734/4790/4791/4793/4940/5296/51426/5702/5705/5710/9861/5925/11317/5970/864/6502/6772/6850/10454/7097/8717/7186/7187/7188/7297",68
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","59/1814","171/9392",0.345029239766082,1.78639174194214,5.07744525552661,1.71025385325316e-06,8.42910827674774e-05,6.0694723213195e-05,"22926/1388/581/596/823/8454/1649/79139/91319/3337/3300/5611/9695/80267/9451/27248/30001/56605/26232/9709/3326/3303/3304/23640/3998/10905/57134/5609/4217/5599/51360/55768/58505/9373/23645/10113/5589/5886/6184/6185/6238/10483/10427/29927/6400/55829/201595/7186/23471/133022/81567/7326/51465/29979/56893/51035/80700/56886/7494",59
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","42/1814","109/9392",0.385321100917431,1.99500318622741,5.11199954349777,2.21050950591822e-06,8.85736471116484e-05,6.37784308721557e-05,"915/1147/2625/3091/3112/3113/3122/3123/3126/3326/3458/3459/3553/3556/50615/50616/3559/3560/3561/3662/3717/3725/6300/1432/5595/5599/2475/4773/4790/4793/5533/5588/5914/5970/861/6257/6772/30009/7040/7048/7297/7535",42
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","38/1814","95/9392",0.4,2.0710033076075,5.13308505318653,2.31061688117344e-06,8.85736471116484e-05,6.37784308721557e-05,"836/841/6347/6354/1147/2919/3627/2920/2921/6372/3576/3326/3458/84818/132014/3553/3725/3727/6885/6300/1432/225689/5595/5598/5599/4312/4314/4318/727897/4790/5743/5970/6280/8717/7186/7187/7188/29761",38
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","39/1814","101/9392",0.386138613861386,1.99923586625476,4.939633554544,4.75418312765406e-06,0.000164019317904065,0.000118103917697511,"207/581/596/836/6347/595/1019/1284/1286/3576/1536/1906/1958/3265/3553/3717/3725/6300/1432/5595/5599/4313/4790/5296/5292/5331/5333/113026/5579/5581/5970/6401/5054/6772/7040/7043/7048/7422/7423",39
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","68/1814","216/9392",0.314814814814815,1.62995630691331,4.58255686252769,1.10291926431622e-05,0.000345915587444633,0.000249080331462802,"207/9138/22926/572/581/596/808/836/841/6347/1147/2919/2920/2921/3576/1536/1548/1649/9451/30001/356/3265/3326/3303/3304/3553/3654/51135/3661/3665/3708/3717/3725/3929/23643/4067/6416/5609/4217/6885/6300/1432/5595/5599/142678/4312/4314/4318/4773/4790/5296/5331/5451/5533/29108/5970/6257/6401/6648/10454/10010/7097/7099/10333/8743/7186/7187/7494",68
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","41/1814","112/9392",0.366071428571429,1.89533784848008,4.6635778201097,1.2813305657228e-05,0.000368382537645304,0.000265257906588228,"207/240/572/596/330/836/841/1147/3112/3113/3122/3123/3126/3303/3304/3458/3459/3587/3654/51135/3655/3717/3911/3913/23643/6885/6300/1432/5595/5599/4790/4793/5294/5970/6772/10454/7040/7043/7097/7099/7297",41
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","36/1814","95/9392",0.378947368421053,1.96200313352289,4.61067101355271,1.78042739649529e-05,0.000472498039839134,0.000340227421516508,"537/527/8992/523/526/6347/940/942/1435/1493/1514/2919/2920/2921/6372/3576/3112/3113/3122/3123/3126/3458/3600/3553/3683/3725/4312/4314/7010/7040/7043/7097/7099/8741/10673/7422",36
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","47/1814","137/9392",0.343065693430657,1.77622546455388,4.47772295153233,2.24272272543308e-05,0.000552670957338866,0.000397956814437749,"207/472/572/581/27113/596/597/10018/330/823/843/836/841/1147/1439/1075/8722/1514/1520/153090/1616/1649/9451/2021/356/10912/3002/3265/3708/3709/3725/4000/84823/5605/4217/5595/5599/4790/8996/10039/55367/5296/5970/6709/8743/8717/7186",47
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","35/1814","93/9392",0.376344086021505,1.94852461737265,4.49747976806662,2.75277023490391e-05,0.000598307479581577,0.000430817895289862,"915/1147/28514/2625/3112/3113/3122/3123/3126/3458/3459/3559/3560/3561/3714/3717/3725/6300/1432/5595/5599/4773/4790/4793/4854/5533/5588/11317/5970/864/6772/6775/30009/7297/7535",35
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","47/1814","138/9392",0.340579710144928,1.76335426553537,4.41975497669657,2.77475932559572e-05,0.000598307479581577,0.000430817895289862,"10096/653857/207/9138/8874/10458/9564/6347/925/1147/3576/9844/2212/2533/3553/3654/51135/3661/3676/3725/3937/3984/5605/6416/5609/6885/6300/1432/5595/5599/4773/4790/5296/8395/23396/5585/5586/2185/29108/5970/6195/27330/8935/10454/7099/7186/7535",47
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","39/1814","109/9392",0.357798165137615,1.85250295863973,4.37988018100759,3.77283140782344e-05,0.000765662844528874,0.000551323970431165,"207/841/942/1147/3627/3576/4283/3455/3553/3654/51135/3661/3665/3725/3929/23643/5605/6416/5609/6885/6300/1432/5595/5599/4790/5296/5970/6696/6772/10454/7096/7097/7099/7100/10333/51311/54472/7187/7297",39
